Total words: 25652
Unique words: 6342
Word frequencies:
age.: 1
Faith,: 4
age: 2
hour.: 2
She's: 3
fourteen.: 3
teeth,--: 1
yet,: 4
teeth: 1
spoken,: 1
four--: 1
Lammas-tide?: 1
fortnight: 1
odd: 1
days.: 2
Even: 3
odd,: 1
days: 4
year,: 2
Come: 11
Lammas-eve: 2
Susan: 3
she--God: 1
Christian: 1
souls!--: 1
Were: 3
age:: 1
well,: 7
God;: 1
said,: 3
fourteen;: 1
well.: 7
earthquake: 1
eleven: 2
years;: 3
wean'd,--I: 1
it,--: 1
day:: 3
had: 14
laid: 5
wormwood: 2
dug,: 1
Sitting: 1
under: 5
dove-house: 1
wall;: 1
lord: 8
Mantua:--: 1
brain:--but,: 1
taste: 2
nipple: 1
dug: 1
felt: 2
bitter,: 1
fool,: 3
tetchy: 1
fall: 11
dug!: 1
Shake: 1
quoth: 5
dove-house:: 1
'twas: 3
need,: 1
trow,: 1
bid: 16
trudge:: 1
time: 19
alone;: 5
nay,: 6
rood,: 1
run: 10
waddled: 1
about;: 1
before,: 3
broke: 1
brow:: 1
husband--God: 1
soul!: 3
A': 1
merry: 4
man--took: 1
child:: 1
'Yea,': 2
'dost: 1
face?: 2
Wilt: 4
Jule?': 3
holidame,: 1
wretch: 2
left: 4
crying: 2
'Ay.': 4
jest: 3
about!: 1
warrant,: 5
thousand: 7
it:: 8
'Wilt: 1
he;: 2
stinted: 2
Enough: 1
this;: 2
madam:: 1
choose: 3
laugh,: 1
its: 1
brow: 2
bump: 1
big: 2
cockerel's: 1
stone;: 1
parlous: 1
knock;: 1
cried: 1
bitterly:: 1
husband,'fall'st: 1
comest: 1
age;: 1
stint: 1
too,: 4
nurse,: 14
Peace,: 4
done.: 3
mark: 3
grace!: 1
wast: 6
prettiest: 2
babe: 1
e'er: 3
nursed:: 1
might: 4
married: 15
once,: 1
wish.: 1
Marry,: 10
'marry': 1
very: 25
theme: 1
of.: 2
daughter: 5
Juliet,: 17
stands: 3
disposition: 2
married?: 1
honour: 4
dream: 7
honour!: 1
suck'd: 2
wisdom: 2
teat.: 1
marriage: 4
now;: 3
younger: 1
ladies: 4
esteem,: 1
Are: 3
already: 4
mothers:: 1
count,: 1
mother: 5
years: 5
maid.: 1
Thus: 4
brief:: 1
Paris: 10
seeks: 1
lady!: 5
lady,: 6
world--why,: 1
wax.: 1
summer: 2
flower.: 3
flower;: 1
faith,: 8
you?: 4
gentleman?: 2
feast;: 1
Read: 1
volume: 2
Paris': 3
face,: 5
writ: 3
beauty's: 2
pen;: 1
every: 11
lineament,: 1
another: 8
lends: 3
content: 1
obscured: 1
lies: 13
margent: 1
eyes.: 4
book: 4
unbound: 1
lover,: 1
beautify: 1
him,: 9
lacks: 1
cover:: 1
fish: 1
sea,: 5
pride: 1
hide:: 1
many's: 1
eyes: 9
share: 2
glory,: 1
gold: 2
clasps: 1
story;: 1
possess,: 1
yourself: 3
less.: 1
less!: 1
bigger;: 1
women: 2
grow: 1
Speak: 4
briefly,: 1
like,: 2
looking: 1
liking: 1
move:: 1
endart: 1
Than: 10
gives: 5
strength: 5
fly.: 2
guests: 2
supper: 1
served: 2
up,: 11
called,: 1
asked: 2
for,: 5
nurse: 4
cursed: 3
pantry,: 1
extremity.: 1
wait;: 1
